RECID,WGHT_PER,AGEC,SEX,HSDSIZEC,FR_Q140,EDU5,SRH_Q110,INCMC,
2550,1407.9235,44,1,6,3,5,2,99,
15473,1087.2661,52,1,3,1,2,2,12,
13914,3484.3912,20,2,6,1,4,1,6,
2726,670.6885,44,2,2,2,2,2,12,
21219,858.8116,63,1,2,2,4,3,8,
19413,275.3599,77,2,1,2,2,2,98,
14571,872.3179,42,1,5,2,2,2,12,
3260,1450.0608,59,1,4,2,3,3,12,
16612,600.9885,78,2,2,1,4,4,98,
8868,955.2798,48,1,4,2,4,3,11,
10041,241.4106,80,2,1,2,4,2,98,
15279,280.0589,54,2,1,2,2,3,8,
2833,712.648,76,1,2,2,2,3,6,
16567,763.0769,36,2,6,3,3,2,7,
4283,359.3884,60,2,1,2,2,2,7,
5641,699.8059,57,1,2,2,4,4,12,
20140,712.648,77,1,2,2,4,3,4,
13938,781.357,39,2,2,2,2,2,8,
21523,275.3599,75,2,1,2,1,3,6,
5979,1455.3984,16,1,4,7,5,2,2,
13561,846.1663,38,1,2,2,2,3,10,
19122,598.4624,71,2,2,3,5,3,4,
10948,763.0769,35,2,3,3,1,3,10,
7485,1035.4079,40,2,3,1,1,2,8,
14738,315.3482,53,1,1,2,3,2,10,
15998,786.3986,36,1,4,2,3,2,12,
5882,762.4901,66,1,2,1,4,2,8,
8128,1052.368,32,1,3,2,2,2,12,
14851,295.8122,47,2,1,2,3,2,11,
6427,590.5308,80,2,1,2,2,4,3,
15078,805.6218,34,2,2,2,1,1,10,
684,602.2147,52,2,2,1,3,1,1,
6800,983.6894,49,1,2,1,2,2,98,
7370,1052.368,34,1,3,2,3,2,99,
18974,1407.9235,43,1,4,2,2,2,10,
20956,402.0859,35,2,3,2,4,1,7,
12962,1288.8667,80,2,2,9,2,3,4,
9929,1087.2661,50,1,3,2,5,4,3,
7571,955.2798,45,1,4,2,3,2,10,
18684,763.0769,35,2,4,1,1,1,1,
20202,324.0812,70,1,1,2,5,4,6,
7575,400.6017,41,1,1,1,2,1,9,
14,241.4106,80,2,1,3,2,3,5,
