,RECID,WGHT_PER,AGEC,SEX,HSDSIZEC,FR_Q140,EDU5,SRH_Q110,INCMC,hsd_dif_sqr
6496,7769,586.2171,56,1,2,2,4,2,98,0.24395277464764714
6497,8698,1070.7596,36,1,4,2,5,1,8,2.268289748126587
6498,9801,1254.381,29,1,2,1,2,2,7,0.24395277464764714
6499,18534,1014.2347,31,1,2,2,2,2,10,0.24395277464764714
6500,21439,1290.2037,29,1,2,1,2,2,9,0.24395277464764714
6501,8758,734.1819,23,2,3,2,2,2,6,0.25612126138711716
6502,14196,240.8758,58,2,1,2,3,3,7,2.231784287908177
6503,21117,305.9087,37,1,1,2,1,2,1,2.231784287908177
6504,6625,427.0116,62,1,2,2,1,1,7,0.24395277464764714
6505,13531,1264.2995,17,1,4,7,5,2,1,2.268289748126587
6506,12092,728.6747,26,2,2,1,4,2,9,0.24395277464764714
6507,8428,562.0195,57,1,2,2,2,3,98,0.24395277464764714
6508,4721,427.0116,62,1,2,1,1,1,12,0.24395277464764714
6509,10756,520.0475,42,1,3,2,3,1,8,0.25612126138711716
6510,12015,646.0003,53,1,2,3,5,4,98,0.24395277464764714
6511,21370,378.5115,80,2,1,2,4,5,6,2.231784287908177
6512,4186,478.36699999999996,43,2,5,1,3,1,10,6.280458234866058
6513,2378,780.5128,24,2,3,2,3,1,3,0.25612126138711716
6514,15256,247.9419,42,2,2,4,3,3,3,0.24395277464764714
6515,17093,648.4341,38,1,3,2,2,3,10,0.25612126138711716
6516,20886,495.8838,43,2,2,1,4,4,4,0.24395277464764714
6517,11496,632.1498,19,1,2,2,5,3,98,0.24395277464764714
6518,6794,684.0557,30,2,3,1,1,3,9,0.25612126138711716
6519,11238,457.8094,66,2,2,2,5,4,4,0.24395277464764714
6520,12979,288.4774,48,1,1,3,5,5,6,2.231784287908177
6521,8646,174.8326,73,2,1,2,4,2,98,2.231784287908177
6522,6081,215.8234,68,2,1,4,4,5,98,2.231784287908177
6523,14715,463.4458,48,2,2,3,5,5,4,0.24395277464764714
6524,9205,242.604,54,2,1,4,2,3,6,2.231784287908177
6525,1772,221.9832,64,2,1,2,5,1,98,2.231784287908177
6526,12672,952.1367,47,1,3,1,4,4,98,0.25612126138711716
6527,10343,2361.4914,20,1,5,2,4,3,6,6.280458234866058
6528,17575,418.4576,60,1,3,3,2,5,11,0.25612126138711716
6529,16552,370.8587,71,2,2,4,5,4,4,0.24395277464764714
6530,3161,540.9654,79,2,2,2,3,1,6,0.24395277464764714
6531,13328,646.0003,51,1,2,3,4,2,7,0.24395277464764714
6532,21815,520.0475,43,1,4,2,2,3,12,2.268289748126587
6533,5860,743.8256,43,2,3,3,3,5,4,0.25612126138711716
6534,4739,532.2258,44,1,2,2,2,2,8,0.24395277464764714
6535,4482,221.9832,61,2,1,2,1,1,10,2.231784287908177
6536,12019,240.8758,56,2,1,2,4,3,5,2.231784287908177
6537,2400,378.5115,80,2,1,2,2,2,98,2.231784287908177
6538,6648,562.0195,56,1,2,1,2,4,98,0.24395277464764714
6539,11554,1324.3027,51,1,4,1,1,1,12,2.268289748126587
6540,10112,921.6996,70,1,3,1,5,4,6,0.25612126138711716
6541,6751,808.3725,80,2,2,2,5,4,99,0.24395277464764714
6542,15430,777.4718,54,2,3,2,4,1,8,0.25612126138711716
6543,3388,562.0195,57,1,2,3,4,3,7,0.24395277464764714
6544,9975,558.0934,71,1,2,2,4,1,4,0.24395277464764714
6545,1081,505.8175,59,2,2,2,2,2,4,0.24395277464764714
6546,4555,743.8256,44,2,3,4,2,3,9,0.25612126138711716
6547,15563,735.1789,65,2,3,2,3,2,98,0.25612126138711716
6548,22297,509.4468,50,2,2,2,2,1,9,0.24395277464764714
6549,13634,1029.2442,56,2,4,2,1,2,11,2.268289748126587
6550,124,648.4341,35,1,3,2,1,3,98,0.25612126138711716
6551,15173,198.9152,60,1,1,3,2,4,4,2.231784287908177
6552,14230,991.0272,34,1,4,1,1,1,10,2.268289748126587
6553,19743,684.0557,33,2,4,3,2,2,8,2.268289748126587
6554,13845,980.2385,67,2,4,2,2,3,5,2.268289748126587
6555,10699,378.5115,80,2,1,2,5,4,6,2.231784287908177
6556,288,828.206,15,2,3,7,5,3,2,0.25612126138711716
6557,18418,1380.3434,19,2,5,9,5,3,98,6.280458234866058
6558,18669,474.2589,62,2,2,2,5,3,6,0.24395277464764714
6559,10549,221.9832,61,2,1,2,5,4,3,2.231784287908177
6560,8318,370.8587,72,2,2,4,5,4,3,0.24395277464764714
6561,11338,256.2229,72,1,1,3,2,3,6,2.231784287908177
6562,1239,370.8587,70,2,2,3,5,5,3,0.24395277464764714
